Image,Gray,Contrast,Noise,Bin,Deskew,EasyOCR_Clean,TrOCR_Clean
sample.jpg,True,True,True,True,True,"Reducegyourtiskofcoronavizusinfection} Clean hondsWith stop goldwater {alcohol basedhand tub_ Covernozoand Whcn coughing incoming withtissuc 0r Mexcd clown; 'Avoiudosoconuct-inanyngt i cold or,flu-Iike Symptoms borough cookmeatandeggs No unprotected_ contact with live wild otarmanimals #od #oath} Orguniration mouth = @nd",0 1
sample.jpg,True,True,True,True,True,"Reducegyourtiskofcoronavizusinfection} Clean hondsWith stop goldwater {alcohol basedhand tub_ Covernozoand Whcn coughing incoming withtissuc 0r Mexcd clown; 'Avoiudosoconuct-inanyngt i cold or,flu-Iike Symptoms borough cookmeatandeggs No unprotected_ contact with live wild otarmanimals #od #oath} Orguniration mouth = @nd",Reduce yourself to become the intention Commercial development economic background contemptuous with the the first appearance of the American American American # economic conditions the most recent members whiteness strong with America garments # the distinction moved pencil
sample.jpg,True,True,True,False,True,Reduce your risk of coronavirus infection: Clean hands with soap and water or alcohol-based hand rub Cover nose and mouth when coughing and sneezing with tissue or flexed elbow Avoid close contact with anyone with cold or flu-like symptoms Thoroughly cook meat and eggs No unprotected contact with live wild or farm animals Wodd Mcalth Orgjrtjtion,"Reduce your risk of coronavirus infection Clean hands with soap and water an accomplished hand rule Some mass and would which coupling and needing with issues on forced about Avoid close contact with anyone with sold on the Nice symptoms Monoughly cook men and eggs the unprecedented contact with live with or announcements "" Second direction organizations in"
sample2.png,True,True,True,False,True,"Reducc your risk of coronavirus infection: Ckrao hand} Joipand Mort 0fi] or atonal Eatad Kjrdiub Vnt Covti rot0 Moura Mntn (ought #rJ taumquan Inttnna Emth Uatur 01 Ikrtrd doom used 1 tod adore Co t tor yet Wic Irn Thorouathy toot carat and(99} (Ndauj Ja No unprotected coaling Mih big a cr outta Muntak Itn Reduce YoJr so 0f coronavinus infect: 0n Clean and: :7s0a? and wife"" du |""_ Ma "" e a con based and ""U: Pa & : du _ Cove"" none and you:n when coughing and Makn)a LOUV?€ 2 {needing mi:n Sue deed Sow 'ImtSus Les ArtS Avoid € one Conac: min anyone i:n _ DecoraTifs _ cold Iu like sums:om: Muzee du LQUVRE Tnorougnly cook me: and egg: Tnea:re Vo us offed coat: %in live wild du PALAIS-ROYAL 0"" Iarm anima : Wor d Hea :7 0rgan2*07 Unth Und","Rhodles seem like an accomplished tradition other interests a member of the United States Department of the curry an extraordinary international 0 2 Common income moved into a compelling deal performance in opportunity about his own childhood children a bibliographical career . spoken a similar to a process of the process of the resources of the American American 0 1 Mississippi Republicans and crypt contrary it six . the unprecedented command with the child a member of the spoken Reduce your risk of coronavirus infection clean hands th soap and water . du . marie alcohol based hand rub ' palais du' . cover nose and mouth when coughing and ' withstanding . louvre . as . sneezing with issue flexed bow . "" les arts . Avoid close contact with anyone with . ' . decorating . ' cold flu like symptoms . ' Musee du Louvre . ' Thoroughly cook meat and eggs , theatre No unprotected contact with live wild "" . du Palais-Royal or farm animals . ' World Health . ' organization 0 0 common"
download.jpeg,True,True,True,False,True,OWTO €OmBI; EXT AND IMAC LEARNING DE,out of the extandimac disapproving .
imagesssss.png,True,True,True,False,True,"7o 84ta 0v e- 34 1 {o' album #i2 #ect4 At 4J 0l {80 Ut; Le Br + # in O Ve 6ted {04 4w OX0o 4rar Qut Clt Xc # 0 p"" Te-ale # Aoen 37","disendow Susanna tea . throned business . superseding shit . year and have been insisting without is-million . like four advertisement . 42, basing the pansophy call-wheeling excited five hour without can't will because cap. quit immercipation throw presses' coloured yellow returned "" worry"
imagesssss.png,True,False,True,True,True,"Gar 94fa Mw DenKr 17'% Yar d~J Rom 633t #asia o{ ~at ? IjuJ [x fact Umsamos 49p 1p4zY On air; 81cited (or Ya Wa On 14i Kave ar Ln snots for Y"" O~or trumpet + eve, 0t",devour . 5.50 assure been very this . year and have 25 limiting of what ? would like for christurers . maya 3- Puppy an very excited for your went control duty heave our economic suits for press and mosaic . rim-week . home . bicycle .
imagesssss.png,True,False,True,True,True,"Gar 94fa Mw DenKr 17'% Yar d~J Rom 633t #asia o{ ~at ? IjuJ [x fact Umsamos 49p 1p4zY On air; 81cited (or Ya Wa On 14i Kave ar Ln snots for Y"" O~or trumpet + eve, 0t",devour . 5.50 assure been very this . year and have 25 limiting of what ? would like for christurers . maya 3- Puppy an very excited for your went control duty heave our economic suits for press and mosaic . rim-week . home . bicycle .
imagesssss.png,True,True,True,False,True,"7o 84ta 0v e- 34 1 {o' album #i2 #ect4 At 4J 0l {80 Ut; Le Br + # in O Ve 6ted {04 4w OX0o 4rar Qut Clt Xc # 0 p"" Te-ale # Aoen 37",0 1 1 1 Nowhere .
imagesssss.png,True,True,True,False,True,"7o 84ta 0v e- 34 1 {o' album #i2 #ect4 At 4J 0l {80 Ut; Le Br + # in O Ve 6ted {04 4w OX0o 4rar Qut Clt Xc # 0 p"" Te-ale # Aoen 37",0 1 1 1 Nowhere .
imagesssss.png,True,True,True,False,True,"7o 84ta 0v e- 34 1 {o' album #i2 #ect4 At 4J 0l {80 Ut; Le Br + # in O Ve 6ted {04 4w OX0o 4rar Qut Clt Xc # 0 p"" Te-ale # Aoen 37",0 1 1 1 Nowhere .
imagesssss.png,True,True,True,False,True,"7o 84ta 0v e- 34 1 {o' album #i2 #ect4 At 4J 0l {80 Ut; Le Br + # in O Ve 6ted {04 4w OX0o 4rar Qut Clt Xc # 0 p"" Te-ale # Aoen 37",0 1 1 1 Nowhere .
imagesssss.png,True,True,True,False,True,"7o 84ta 0v e- 34 1 {o' album #i2 #ect4 At 4J 0l {80 Ut; Le Br + # in O Ve 6ted {04 4w OX0o 4rar Qut Clt Xc # 0 p"" Te-ale # Aoen 37",0 1 1 1 Nowhere .
imagesssss.png,True,True,True,False,True,3o 84t 06en 44 {0' aJdum #i Ject7 4at 4u Aa {8 U; 0t br + # in 0 we {0 $ FX00 4rar Qu Kal 4 Xc 3 # Teeoil€ # Aceng 7 F,0 0 2 . however .
imagesssss.png,True,False,True,False,True,"3o 84t 0 66n F {0' aJdum #if #ect74 4t A Aa {8 Ut; Lt br + # Pn 0 {1 {& Vo FX00 4ror Qut Kealt4 Xc 3 p"" Teeall€ # Han 7n F",0 0 2 . however .
